,filename,Data Type,Shape
0,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0001.vk.ppm,uint8,"(605, 700, 3)"
1,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0002.vk.ppm,uint8,"(605, 700, 3)"
2,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0003.vk.ppm,uint8,"(605, 700, 3)"
3,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0004.vk.ppm,uint8,"(605, 700, 3)"
4,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0005.vk.ppm,uint8,"(605, 700, 3)"
5,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0044.vk.ppm,uint8,"(605, 700, 3)"
6,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0077.vk.ppm,uint8,"(605, 700, 3)"
7,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0081.vk.ppm,uint8,"(605, 700, 3)"
8,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0082.vk.ppm,uint8,"(605, 700, 3)"
9,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0139.vk.ppm,uint8,"(605, 700, 3)"
10,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0162.vk.ppm,uint8,"(605, 700, 3)"
11,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0163.vk.ppm,uint8,"(605, 700, 3)"
12,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0235.vk.ppm,uint8,"(605, 700, 3)"
13,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0236.vk.ppm,uint8,"(605, 700, 3)"
14,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0239.vk.ppm,uint8,"(605, 700, 3)"
15,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0240.vk.ppm,uint8,"(605, 700, 3)"
16,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0255.vk.ppm,uint8,"(605, 700, 3)"
17,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0291.vk.ppm,uint8,"(605, 700, 3)"
18,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0319.vk.ppm,uint8,"(605, 700, 3)"
19,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Grader2/im0324.vk.ppm,uint8,"(605, 700, 3)"
