,filename,Data Type,Shape
0,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0001.ppm,uint8,"(605, 700, 3)"
1,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0002.ppm,uint8,"(605, 700, 3)"
2,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0003.ppm,uint8,"(605, 700, 3)"
3,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0004.ppm,uint8,"(605, 700, 3)"
4,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0005.ppm,uint8,"(605, 700, 3)"
5,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0044.ppm,uint8,"(605, 700, 3)"
6,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0077.ppm,uint8,"(605, 700, 3)"
7,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0081.ppm,uint8,"(605, 700, 3)"
8,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0082.ppm,uint8,"(605, 700, 3)"
9,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0139.ppm,uint8,"(605, 700, 3)"
10,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0162.ppm,uint8,"(605, 700, 3)"
11,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0163.ppm,uint8,"(605, 700, 3)"
12,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0235.ppm,uint8,"(605, 700, 3)"
13,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0236.ppm,uint8,"(605, 700, 3)"
14,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0239.ppm,uint8,"(605, 700, 3)"
15,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0240.ppm,uint8,"(605, 700, 3)"
16,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0255.ppm,uint8,"(605, 700, 3)"
17,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0291.ppm,uint8,"(605, 700, 3)"
18,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0319.ppm,uint8,"(605, 700, 3)"
19,/Users/kalina/Downloads/VeranaHealth/DataChallengeImages/Raw images/im0324.ppm,uint8,"(605, 700, 3)"
